2024-04-12 15:29:45.3884|0|DEBUG|Program|init main |url: |action: 
2024-04-12 15:30:01.6007|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-04-12 15:30:01.7959|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-04-12 15:30:01.7959|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\---\Documents\GitHub\NewClimbingApp\NewClimbingApp |url: |action: 
2024-04-12 15:30:05.8254|7|INFO|Pharmacy.Authentication.BasicAuthenticationHandler|BasicAuthentication was not authenticated. Failure message: Missing Authorization Header |url: https://localhost/swagger/index.html|action: 
2024-04-12 15:30:08.9646|7|INFO|Pharmacy.Authentication.BasicAuthenticationHandler|BasicAuthentication was not authenticated. Failure message: Missing Authorization Header |url: https://localhost/swagger/v1/swagger.json|action: 
2024-04-12 15:30:24.2262|7|INFO|Pharmacy.Authentication.BasicAuthenticationHandler|BasicAuthentication was not authenticated. Failure message: Missing Authorization Header |url: https://localhost/Routes|action: GetAllRoutes
2024-04-12 15:30:25.2627|0|INFO|NewClimbingApp.Controllers.RoutesController|We are in Routes |url: https://localhost/Routes|action: GetAllRoutes
2024-04-12 15:32:00.3220|7|INFO|Pharmacy.Authentication.BasicAuthenticationHandler|BasicAuthentication was not authenticated. Failure message: Missing Authorization Header |url: https://localhost/Routes/2/ascents/1|action: AddAscentToRoute
2024-04-12 15:32:00.3395|0|INFO|NewClimbingApp.Controllers.RoutesController|We are in Routes |url: https://localhost/Routes/2/ascents/1|action: AddAscentToRoute
